,microsecs,n_reprocessing
88912,840,0
88940,1138,0
88975,643,0
89010,1459,0
89039,1290,0
89059,711,0
89093,1309,0
89123,1229,0
89143,928,0
89198,689,0
89298,1675,0
89341,1335,0
89391,1413,0
89446,862,0
89545,732,0
89597,947,0
89629,1737,0
89661,861,0
89687,827,0
89742,1336,0
89774,1410,0
89822,1514,0
89849,1584,0
89881,1524,0
89948,891,0
89979,834,0
90095,1389,0
90130,804,0
90154,1696,0
90181,1523,0
90222,858,0
90250,1200,0
90297,895,0
90405,1548,0
90427,1526,0
90464,1370,0
90500,1311,0
90532,1019,0
90575,1533,0
90596,1409,0
90624,1548,0
90810,1306,0
90837,1196,0
90865,1510,0
90885,891,0
91044,811,0
91163,766,0
91298,965,0
91437,992,0
91464,1026,0
91628,1856,0
91640,1112,0
91691,1075,0
91801,808,0
91937,1272,0
91974,1608,0
91993,1175,0
92026,1552,0
92064,737,0
92098,1433,0
92134,1332,0
92162,1254,0
92174,1557,0
92365,922,0
92513,2047,0
92533,1038,0
92557,1548,0
92594,1629,0
92608,966,0
92644,1220,0
92671,1244,0
92686,1687,0
92710,771,0
92772,618,0
92920,934,0
92952,1631,0
92976,1099,0
93012,1463,0
93039,1622,0
93066,1547,0
93096,1315,0
93130,1244,0
93168,1440,0
93201,985,0
93220,1030,0
93258,1740,0
93307,1468,0
93327,1306,0
93339,1133,0
93410,981,0
93549,954,0
93592,837,0
93612,1051,0
93641,1451,0
93687,557,0
93819,1358,0
93830,506,0
93858,855,0
94030,3090,0
94063,1989,0
94077,994,0
94097,1002,0
94132,1728,0
94152,1671,0
94164,902,0
94208,1547,0
94380,1301,0
94399,1426,0
94452,1138,0
94464,997,0
94511,895,0
94651,1646,0
94830,1386,0
94853,1361,0
94877,1075,0
94913,1593,0
94933,1377,0
94978,1476,0
95005,1053,0
95033,1499,0
95061,1266,0
95097,1773,0
95117,1403,0
95151,1509,0
95189,1134,0
95200,503,0
95226,1960,0
95416,1234,0
95447,1561,0
95479,1486,0
95502,1181,0
95570,804,0
95709,1441,0
95892,850,0
96015,1055,0
96061,1473,0
96107,857,0
96247,1437,0
96410,1682,0
96423,892,0
96459,985,0
96497,1510,0
96523,1194,0
96562,905,0
96696,1604,0
96749,785,0
96900,827,0
97038,1618,0
97074,1410,0
97103,1564,0
97123,1330,0
97151,918,0
97186,1183,0
97213,2788,0
97253,770,0
97296,565,0
97317,1405,0
97343,483,0
97378,928,0
97433,921,0
97565,1134,0
97606,1464,0
97655,755,0
97806,959,0
97954,1334,0
97974,807,0
98057,1010,0
98076,447,0
98104,1171,0
98127,1138,0
98490,1039,0
98641,878,0
98792,762,0
98931,1801,0
98951,1349,0
98975,1254,0
98992,1576,0
99022,1640,0
99046,791,0
99093,793,0
99223,1189,0
99246,1376,0
99266,1452,0
99317,683,0
99441,1716,0
99468,1573,0
99480,1095,0
99508,894,0
99552,833,0
99571,1664,0
99590,1022,0
99610,912,0
99638,1389,0
99666,1022,0
99711,834,0
99963,1662,0
99998,724,0
100033,1089,0
100072,679,0
100195,876,0
100249,1044,0
100266,1044,0
100301,1095,0
100330,1313,0
100388,1681,0
100432,1122,0
100460,1581,0
100483,1056,0
100554,1484,0
100593,890,0
100740,1262,0
100776,1497,0
100931,1032,0
100951,1163,0
100982,862,0
101138,1233,0
101165,919,0
101185,850,0
101213,1189,0
101259,658,0
101390,1110,0
101409,950,0
101429,1465,0
101449,1173,0
101477,1168,0
101492,1480,0
101645,1604,0
101668,940,0
101707,1574,0
101735,1554,0
101747,1293,0
101759,1233,0
101794,1106,0
101837,898,0
101857,1506,0
101876,1609,0
101911,1361,0
101931,1048,0
101951,800,0
102014,694,0
102137,787,0
102157,1038,0
102176,1040,0
102216,1369,0
102232,859,0
102420,1534,0
102440,1158,0
102467,656,0
102498,687,0
102668,1621,0
102704,1343,0
102725,1395,0
102752,1214,0
102799,771,0
102923,965,0
102968,1040,0
103125,958,0
103149,842,0
103184,584,0
103204,1279,0
103241,1168,0
103274,1059,0
103317,1013,0
103368,1417,0
103403,1913,0
103442,844,0
103593,779,0
103750,1622,0
103768,1128,0
103808,1529,0
103824,2293,0
103844,1090,0
103864,821,0
103909,1149,0
103936,2558,0
103991,847,0
104111,998,0
104151,1401,0
104178,1010,0
104189,1034,0
104209,935,0
104383,1210,0
104525,1023,0
104664,1049,0
104710,1388,0
104719,5797,0
104883,1451,0
104910,1006,0
104941,873,0
105065,1757,0
105100,1578,0
105147,778,0
105399,1910,0
105443,1568,0
105455,1236,0
105474,656,0
105493,646,0
105637,1615,0
105653,1681,0
105817,1758,0
105877,994,0
105904,1025,0
105955,1200,0
106006,1485,0
106154,1703,0
106166,1724,0
106229,1023,0
106269,1411,0
106297,916,0
106322,1587,0
106376,1979,0
106511,1233,0
106536,961,0
106555,1560,0
106582,1343,0
106611,1237,0
106649,769,0
106789,1408,0
106808,1146,0
106890,1013,0
106933,1062,0
107091,882,0
107214,996,0
107245,1348,0
107273,1319,0
107298,1015,0
107318,1161,0
107338,1301,0
107357,1024,0
107384,1542,0
107437,1166,0
107457,915,0
